time,open,high,low,close
2026-05-25T16:39:00+08:00,1.804,1.806,1.804,1.805
2026-05-25T16:40:00+08:00,1.806,1.806,1.805,1.805
2026-05-25T16:41:00+08:00,1.805,1.805,1.804,1.805
2026-05-25T16:42:00+08:00,1.804,1.806,1.804,1.806
2026-05-25T16:43:00+08:00,1.805,1.807,1.805,1.805
2026-05-25T16:44:00+08:00,1.805,1.806,1.805,1.806
2026-05-25T16:45:00+08:00,1.805,1.807,1.805,1.807
2026-05-25T16:46:00+08:00,1.806,1.806,1.805,1.805
2026-05-25T16:47:00+08:00,1.805,1.807,1.805,1.807
2026-05-25T16:48:00+08:00,1.807,1.807,1.805,1.805
2026-05-25T16:49:00+08:00,1.805,1.807,1.805,1.807
2026-05-25T16:50:00+08:00,1.806,1.808,1.806,1.807
2026-05-25T16:51:00+08:00,1.807,1.808,1.806,1.807
2026-05-25T16:52:00+08:00,1.806,1.806,1.802,1.803
2026-05-25T16:53:00+08:00,1.803,1.805,1.803,1.804
2026-05-25T16:54:00+08:00,1.804,1.806,1.804,1.806
2026-05-25T16:55:00+08:00,1.806,1.808,1.806,1.808
2026-05-25T16:56:00+08:00,1.808,1.809,1.807,1.809
2026-05-25T16:57:00+08:00,1.808,1.808,1.807,1.808
2026-05-25T16:58:00+08:00,1.807,1.809,1.807,1.808
2026-05-25T16:59:00+08:00,1.808,1.808,1.807,1.807
2026-05-25T17:00:00+08:00,1.807,1.808,1.806,1.807
2026-05-25T17:01:00+08:00,1.806,1.807,1.805,1.806
2026-05-25T17:02:00+08:00,1.805,1.808,1.805,1.808
2026-05-25T17:03:00+08:00,1.808,1.809,1.808,1.808
2026-05-25T17:04:00+08:00,1.808,1.809,1.807,1.808
2026-05-25T17:05:00+08:00,1.807,1.807,1.806,1.807
2026-05-25T17:06:00+08:00,1.807,1.807,1.804,1.806
2026-05-25T17:07:00+08:00,1.805,1.805,1.803,1.804
2026-05-25T17:08:00+08:00,1.804,1.805,1.803,1.803
2026-05-25T17:09:00+08:00,1.803,1.804,1.803,1.803
2026-05-25T17:10:00+08:00,1.803,1.804,1.799,1.801
2026-05-25T17:11:00+08:00,1.802,1.802,1.8,1.8
2026-05-25T17:12:00+08:00,1.8,1.801,1.8,1.8
2026-05-25T17:13:00+08:00,1.8,1.8,1.798,1.799
2026-05-25T17:14:00+08:00,1.799,1.799,1.798,1.799
2026-05-25T17:15:00+08:00,1.798,1.798,1.796,1.798
2026-05-25T17:16:00+08:00,1.797,1.798,1.796,1.798
2026-05-25T17:17:00+08:00,1.797,1.798,1.796,1.798
2026-05-25T17:18:00+08:00,1.798,1.798,1.796,1.796
2026-05-25T17:19:00+08:00,1.796,1.796,1.794,1.795
2026-05-25T17:20:00+08:00,1.794,1.794,1.792,1.793
2026-05-25T17:21:00+08:00,1.793,1.794,1.791,1.794
2026-05-25T17:22:00+08:00,1.794,1.796,1.794,1.796
2026-05-25T17:23:00+08:00,1.796,1.797,1.795,1.797
2026-05-25T17:24:00+08:00,1.796,1.797,1.796,1.796
2026-05-25T17:25:00+08:00,1.796,1.797,1.795,1.796
2026-05-25T17:26:00+08:00,1.796,1.797,1.796,1.797
2026-05-25T17:27:00+08:00,1.796,1.796,1.795,1.796
2026-05-25T17:28:00+08:00,1.797,1.798,1.796,1.798
2026-05-25T17:29:00+08:00,1.798,1.799,1.797,1.799
2026-05-25T17:30:00+08:00,1.798,1.798,1.796,1.796
2026-05-25T17:31:00+08:00,1.796,1.8,1.796,1.8
2026-05-25T17:32:00+08:00,1.8,1.801,1.799,1.8
2026-05-25T17:33:00+08:00,1.8,1.802,1.8,1.8
2026-05-25T17:34:00+08:00,1.801,1.802,1.799,1.8
2026-05-25T17:35:00+08:00,1.799,1.799,1.799,1.799
2026-05-25T17:36:00+08:00,1.798,1.798,1.796,1.796
2026-05-25T17:37:00+08:00,1.797,1.797,1.795,1.796
2026-05-25T17:38:00+08:00,1.797,1.797,1.795,1.795
2026-05-25T17:39:00+08:00,1.796,1.797,1.796,1.797
2026-05-25T17:40:00+08:00,1.798,1.798,1.797,1.798
2026-05-25T17:41:00+08:00,1.797,1.798,1.796,1.797
2026-05-25T17:42:00+08:00,1.797,1.799,1.797,1.799
2026-05-25T17:43:00+08:00,1.799,1.799,1.798,1.798
2026-05-25T17:44:00+08:00,1.798,1.8,1.798,1.8
2026-05-25T17:45:00+08:00,1.8,1.801,1.799,1.801
2026-05-25T17:46:00+08:00,1.801,1.802,1.801,1.802
2026-05-25T17:47:00+08:00,1.801,1.803,1.801,1.802
2026-05-25T17:48:00+08:00,1.802,1.802,1.8,1.801
2026-05-25T17:49:00+08:00,1.802,1.802,1.801,1.802
2026-05-25T17:50:00+08:00,1.801,1.802,1.8,1.801
2026-05-25T17:51:00+08:00,1.801,1.801,1.8,1.801
2026-05-25T17:52:00+08:00,1.8,1.801,1.799,1.801
2026-05-25T17:53:00+08:00,1.801,1.801,1.798,1.798
2026-05-25T17:54:00+08:00,1.799,1.8,1.799,1.799
2026-05-25T17:55:00+08:00,1.799,1.8,1.798,1.798
2026-05-25T17:56:00+08:00,1.798,1.798,1.797,1.798
2026-05-25T17:57:00+08:00,1.798,1.799,1.797,1.797
2026-05-25T17:58:00+08:00,1.798,1.8,1.798,1.8
2026-05-25T17:59:00+08:00,1.8,1.801,1.799,1.801
2026-05-25T18:00:00+08:00,1.801,1.803,1.801,1.802
2026-05-25T18:01:00+08:00,1.803,1.803,1.801,1.801
2026-05-25T18:02:00+08:00,1.801,1.801,1.8,1.8
2026-05-25T18:03:00+08:00,1.801,1.802,1.8,1.8
2026-05-25T18:04:00+08:00,1.8,1.803,1.8,1.802
2026-05-25T18:05:00+08:00,1.802,1.803,1.801,1.802
2026-05-25T18:06:00+08:00,1.802,1.804,1.802,1.803
2026-05-25T18:07:00+08:00,1.804,1.804,1.804,1.804
2026-05-25T18:08:00+08:00,1.804,1.806,1.804,1.804
2026-05-25T18:09:00+08:00,1.805,1.806,1.804,1.804
2026-05-25T18:10:00+08:00,1.804,1.806,1.803,1.803
2026-05-25T18:11:00+08:00,1.803,1.805,1.803,1.805
2026-05-25T18:12:00+08:00,1.805,1.806,1.804,1.805
2026-05-25T18:13:00+08:00,1.805,1.807,1.804,1.807
2026-05-25T18:14:00+08:00,1.806,1.807,1.805,1.807
2026-05-25T18:15:00+08:00,1.807,1.81,1.807,1.808
2026-05-25T18:16:00+08:00,1.809,1.813,1.809,1.813
2026-05-25T18:17:00+08:00,1.813,1.814,1.812,1.812
2026-05-25T18:18:00+08:00,1.812,1.813,1.81,1.811
2026-05-25T18:19:00+08:00,1.81,1.81,1.809,1.81
2026-05-25T18:20:00+08:00,1.809,1.809,1.805,1.805
2026-05-25T18:21:00+08:00,1.805,1.807,1.803,1.807
2026-05-25T18:22:00+08:00,1.807,1.808,1.806,1.808
2026-05-25T18:23:00+08:00,1.809,1.813,1.809,1.809
2026-05-25T18:24:00+08:00,1.809,1.811,1.809,1.809
2026-05-25T18:25:00+08:00,1.809,1.809,1.806,1.806
2026-05-25T18:26:00+08:00,1.807,1.808,1.807,1.807
2026-05-25T18:27:00+08:00,1.807,1.808,1.806,1.807
2026-05-25T18:28:00+08:00,1.806,1.809,1.806,1.808
2026-05-25T18:29:00+08:00,1.808,1.81,1.808,1.81
2026-05-25T18:30:00+08:00,1.81,1.81,1.808,1.808
2026-05-25T18:31:00+08:00,1.809,1.809,1.806,1.807
2026-05-25T18:32:00+08:00,1.808,1.809,1.808,1.809
2026-05-25T18:33:00+08:00,1.809,1.81,1.808,1.808
2026-05-25T18:34:00+08:00,1.808,1.809,1.806,1.807
2026-05-25T18:35:00+08:00,1.808,1.808,1.805,1.805
2026-05-25T18:36:00+08:00,1.805,1.807,1.804,1.806
2026-05-25T18:37:00+08:00,1.806,1.808,1.805,1.806
2026-05-25T18:38:00+08:00,1.806,1.808,1.806,1.807
2026-05-25T18:39:00+08:00,1.807,1.808,1.806,1.806
2026-05-25T18:40:00+08:00,1.806,1.807,1.805,1.806
2026-05-25T18:41:00+08:00,1.805,1.806,1.805,1.805
2026-05-25T18:42:00+08:00,1.806,1.808,1.806,1.807
2026-05-25T18:43:00+08:00,1.806,1.807,1.805,1.806
2026-05-25T18:44:00+08:00,1.806,1.807,1.806,1.807
2026-05-25T18:45:00+08:00,1.807,1.809,1.806,1.809
2026-05-25T18:46:00+08:00,1.81,1.81,1.807,1.808
2026-05-25T18:47:00+08:00,1.808,1.809,1.807,1.808
2026-05-25T18:48:00+08:00,1.807,1.809,1.807,1.809
2026-05-25T18:49:00+08:00,1.808,1.809,1.806,1.806
